,Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Fix_quality,Zone,Letter
0,1665082898.602568,0,68499,0,GPS1_Frame,42.3370475769043,-71.08685302734375,14.199999809265137,0.0,0.0,5,19,T
1,1665082899.6130593,0,68500,0,GPS1_Frame,42.33704376220703,-71.08685302734375,14.100000381469728,0.3549416949563506,0.6276350668015762,5,19,T
2,1665082900.6101773,0,68501,0,GPS1_Frame,42.3370361328125,-71.08683776855469,14.100000381469728,1.03125,-1.5,5,19,T
3,1665082901.6009164,0,68502,0,GPS1_Frame,42.33702850341797,-71.08683013916016,14.100000381469728,1.75,-2.5,5,19,T
4,1665082902.6122584,0,68503,0,GPS1_Frame,42.33701705932617,-71.08682250976562,14.100000381469728,2.53125,-3.5,5,19,T
5,1665082903.6075892,0,68504,0,GPS1_Frame,42.33700942993164,-71.0868148803711,14.100000381469728,3.248213360396642,-5.033950121041215,5,19,T
6,1665082904.610528,0,68505,0,GPS1_Frame,42.33700180053711,-71.08679962158203,14.100000381469728,4.09346279742048,-4.613195749027829,5,19,T
7,1665082905.6033232,0,68506,0,GPS1_Frame,42.33699035644531,-71.0867919921875,14.100000381469728,4.914751202643795,-6.723951287690537,5,19,T
8,1665082906.6039298,0,68507,0,GPS1_Frame,42.33698272705078,-71.08678436279297,14.100000381469728,5.625,-7.5,3,19,T
9,1665082907.6416142,0,68508,0,GPS1_Frame,42.33697128295898,-71.08677673339844,14.100000381469728,6.3125,-8.5,5,19,T
10,1665082908.6054626,0,68509,0,GPS1_Frame,42.33696365356445,-71.0867691040039,14.100000381469728,7.061020379269002,-8.572679243802883,4,19,T
11,1665082909.61261,0,68510,0,GPS1_Frame,42.336952209472656,-71.08675384521484,14.100000381469728,7.776103881598928,-12.720545029177478,5,19,T
12,1665082910.6058831,0,68511,0,GPS1_Frame,42.336944580078125,-71.08674621582031,14.100000381469728,8.65625,-11.5,5,19,T
13,1665082911.6167989,0,68512,0,GPS1_Frame,42.3369369506836,-71.08673095703125,14.100000381469728,9.596159674453668,-12.159930472176399,4,19,T
14,1665082912.606883,0,68513,0,GPS1_Frame,42.33693313598633,-71.08672332763672,14.0,10.6196839432412,-14.912188685626992,5,19,T
15,1665082913.6068203,0,68514,0,GPS1_Frame,42.33692932128906,-71.08670806884766,14.0,11.619986230871502,-13.904898333792463,5,19,T
16,1665082914.6103475,0,68515,0,GPS1_Frame,42.3369255065918,-71.08670043945312,14.100000381469728,12.625,-14.0,5,19,T
17,1665082915.605902,0,68516,0,GPS1_Frame,42.33692932128906,-71.08668518066406,14.100000381469728,13.68688668279392,-14.48537836866999,4,19,T
18,1665082916.6228058,0,68517,0,GPS1_Frame,42.33693313598633,-71.086669921875,14.100000381469728,14.744936935100027,-14.092923974774491,5,19,T
19,1665082917.6130617,0,68518,0,GPS1_Frame,42.33694076538086,-71.08666229248047,14.0,15.785152002292064,-12.401905870847294,5,19,T
20,1665082918.6119933,0,68519,0,GPS1_Frame,42.33694839477539,-71.0866470336914,14.0,16.804316197081842,-12.92678012992934,5,19,T
21,1665082919.6043408,0,68520,0,GPS1_Frame,42.33695602416992,-71.08663177490234,14.100000381469728,17.809871034930097,-10.095475609925163,4,19,T
22,1665082920.6079228,0,68521,0,GPS1_Frame,42.33695983886719,-71.08662414550781,14.100000381469728,18.71875,-10.0,5,19,T
23,1665082921.6057467,0,68522,0,GPS1_Frame,42.33696746826172,-71.08660888671875,14.100000381469728,19.71875,-9.5,4,19,T
24,1665082922.6078982,0,68523,0,GPS1_Frame,42.33697509765625,-71.08660125732422,14.0,20.59476206647935,-7.661665426538421,5,19,T
25,1665082923.611173,0,68524,0,GPS1_Frame,42.33698272705078,-71.08659362792969,14.0,21.477804938375826,-10.838063520330568,4,19,T
26,1665082924.60481,0,68525,0,GPS1_Frame,42.33699035644531,-71.08657836914062,14.100000381469728,22.39899289391917,-6.833424914270953,5,19,T
27,1665082925.6049306,0,68526,0,GPS1_Frame,42.33699798583984,-71.0865707397461,14.199999809265137,23.37938045746756,-5.412694769959247,5,19,T
28,1665082926.6092806,0,68527,0,GPS1_Frame,42.33700180053711,-71.08655548095703,14.100000381469728,24.375709644358647,-6.071619203685665,4,19,T
29,1665082927.5999093,0,68528,0,GPS1_Frame,42.33700942993164,-71.0865478515625,14.100000381469728,25.40149796729867,-5.402322885802661,5,19,T
30,1665082928.5995977,0,68529,0,GPS1_Frame,42.33701705932617,-71.08653259277344,14.199999809265137,26.281557402955066,-6.20209123459988,5,19,T
31,1665082929.601415,0,68530,0,GPS1_Frame,42.3370246887207,-71.0865249633789,14.199999809265137,27.26966275828978,-3.8439023975687516,5,19,T
32,1665082930.6046934,0,68531,0,GPS1_Frame,42.337032318115234,-71.08650970458984,14.199999809265137,28.248754283004157,-2.086292483787613,5,19,T
33,1665082931.600573,0,68532,0,GPS1_Frame,42.337039947509766,-71.08650207519531,14.199999809265137,29.125,-1.5,5,19,T
34,1665082932.6040857,0,68533,0,GPS1_Frame,42.3370475769043,-71.08648681640625,14.300000190734863,29.96875,-1.0,5,19,T
35,1665082933.61169,0,68534,0,GPS1_Frame,42.33705139160156,-71.08647918701172,14.199999809265137,30.968067963632453,-0.8874334175130837,5,19,T
36,1665082934.6073222,0,68535,0,GPS1_Frame,42.337059020996094,-71.08646392822266,14.100000381469728,31.99789569217957,1.9801430466279966,4,19,T
