,Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Fix_quality,Zone,Letter
0,1665071852.0317326,0,57452,0,GPS1_Frame,42.32829284667969,-71.10242462158203,57.70000076293945,0.0,0.0,5,19,T
1,1665071853.0351949,0,57453,0,GPS1_Frame,42.32829284667969,-71.1024169921875,57.59999847412109,0.625,0.0,5,19,T
2,1665071854.0260303,0,57454,0,GPS1_Frame,42.32828903198242,-71.10240936279297,57.59999847412109,1.53125,-0.5,4,19,T
3,1665071855.033008,0,57455,0,GPS1_Frame,42.32828521728516,-71.1023941040039,57.59999847412109,2.5,-1.0,4,19,T
4,1665071856.0319855,0,57456,0,GPS1_Frame,42.32828140258789,-71.10238647460938,57.59999847412109,3.5625,-1.5,5,19,T
5,1665071857.0346675,0,57457,0,GPS1_Frame,42.32827758789063,-71.10237121582031,57.59999847412109,4.625,-2.0,5,19,T
6,1665071858.0346856,0,57458,0,GPS1_Frame,42.32827377319336,-71.10235595703125,57.5,5.691536598459512,-2.863903641022133,5,19,T
7,1665071859.0287492,0,57459,0,GPS1_Frame,42.328269958496094,-71.10234069824219,57.5,6.84375,-3.0,4,19,T
8,1665071860.0290153,0,57460,0,GPS1_Frame,42.32826614379883,-71.10233306884766,57.5,8.006048384419634,-3.5831409768848075,5,19,T
9,1665071861.034518,0,57461,0,GPS1_Frame,42.32826232910156,-71.1023178100586,57.400001525878906,9.0625,-4.0,5,19,T
10,1665071862.032854,0,57462,0,GPS1_Frame,42.3282585144043,-71.10230255126953,57.400001525878906,10.25,-4.0,5,19,T
11,1665071863.0346706,0,57463,0,GPS1_Frame,42.32825469970703,-71.10228729248047,57.400001525878906,11.40625,-4.5,4,19,T
12,1665071864.0318625,0,57464,0,GPS1_Frame,42.328250885009766,-71.1022720336914,57.400001525878906,12.59375,-5.0,5,19,T
13,1665071865.0311675,0,57465,0,GPS1_Frame,42.3282470703125,-71.10225677490234,57.29999923706055,13.78125,-5.5,5,19,T
14,1665071866.0353785,0,57466,0,GPS1_Frame,42.328243255615234,-71.10224914550781,57.29999923706055,14.93132414289068,-6.024440621105465,5,19,T
15,1665071867.0331657,0,57467,0,GPS1_Frame,42.32823944091797,-71.10223388671875,57.29999923706055,16.0,-6.5,4,19,T
16,1665071868.0411348,0,57468,0,GPS1_Frame,42.3282356262207,-71.10221862792969,57.20000076293945,17.125,-7.0,5,19,T
17,1665071869.0386014,0,57469,0,GPS1_Frame,42.32823181152344,-71.10220336914062,57.20000076293945,18.1875,-7.5,5,19,T
18,1665071870.0311608,0,57470,0,GPS1_Frame,42.32822799682617,-71.10218811035156,57.09999847412109,19.497093348556657,-7.714725944083708,5,19,T
19,1665071871.038784,0,57471,0,GPS1_Frame,42.328224182128906,-71.10218048095703,57.09999847412109,20.40625,-8.5,5,19,T
20,1665071872.026755,0,57472,0,GPS1_Frame,42.32822036743164,-71.10216522216797,57.09999847412109,21.46875,-9.0,4,19,T
21,1665071873.0331936,0,57473,0,GPS1_Frame,42.328216552734375,-71.1021499633789,57.0,22.5,-9.0,5,19,T
22,1665071874.0334728,0,57474,0,GPS1_Frame,42.32821273803711,-71.10214233398438,57.0,23.53125,-9.5,4,19,T
23,1665071875.0341916,0,57475,0,GPS1_Frame,42.32820892333984,-71.10212707519531,57.0,24.53125,-10.0,5,19,T
24,1665071876.0363517,0,57476,0,GPS1_Frame,42.32820510864258,-71.10211181640625,57.0,25.54256995637007,-10.37269316660478,5,19,T
25,1665071877.0343823,0,57477,0,GPS1_Frame,42.32820129394531,-71.10210418701172,57.0,26.636496846016495,-10.831948339041366,5,19,T
26,1665071878.0332968,0,57478,0,GPS1_Frame,42.32820129394531,-71.10208892822266,56.900001525878906,27.71875,-11.0,5,19,T
27,1665071879.0442398,0,57479,0,GPS1_Frame,42.32819747924805,-71.1020736694336,56.900001525878906,28.84375,-11.5,4,19,T
28,1665071880.0289657,0,57480,0,GPS1_Frame,42.32819366455078,-71.10205841064453,56.900001525878906,30.0,-12.0,5,19,T
29,1665071881.027626,0,57481,0,GPS1_Frame,42.32818984985352,-71.10204315185547,56.79999923706055,31.15625,-12.5,5,19,T
30,1665071882.035193,0,57482,0,GPS1_Frame,42.32818603515625,-71.10203552246094,56.79999923706055,32.29973107819295,-13.014332299139815,4,19,T
31,1665071883.0366075,0,57483,0,GPS1_Frame,42.32818222045898,-71.10202026367188,56.79999923706055,33.4375,-13.5,4,19,T
32,1665071884.0457416,0,57484,0,GPS1_Frame,42.32817840576172,-71.10200500488281,56.79999923706055,34.40625,-14.0,5,19,T
33,1665071885.037486,0,57485,0,GPS1_Frame,42.32817459106445,-71.10199737548828,56.79999923706055,35.34375,-14.0,5,19,T
34,1665071886.0322068,0,57486,0,GPS1_Frame,42.32817077636719,-71.10198211669922,56.70000076293945,36.3125,-14.5,4,19,T
35,1665071887.036441,0,57487,0,GPS1_Frame,42.32816696166992,-71.10197448730469,56.70000076293945,37.39818482566844,-14.877578416646223,5,19,T
36,1665071888.0299191,0,57488,0,GPS1_Frame,42.328163146972656,-71.10195922851562,56.70000076293945,38.15512995696988,-15.512125876184422,5,19,T
37,1665071889.0341556,0,57489,0,GPS1_Frame,42.32815933227539,-71.10194396972656,56.70000076293945,39.405766629924706,-15.899973127675967,5,19,T
