Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,VNYMR
1731877513.543608,1,1731877513,540969371,imu1_frame,0,0,0,,-0.015384450933155755,-0.014688377427165321,0.5097417226543905,0.8600645013156729,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.47654,0.105171,-0.001895,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.137,-0.271,-9.854,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3216,-0.1265,0.5076,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+061.320,-000.549,-002.375,+00.3216,-00.1265,+00.5076,-00.137,-00.271,-09.854,-00.476540,+00.105171,-00.001895*62"
1731877513.5661187,2,1731877513,563400745,imu1_frame,0,0,0,,-0.021422084246170026,-0.016585885836336963,0.5091897561572769,0.8602277575863654,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.542657,0.123963,-0.038299,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.062,0.296,-9.669,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.319,-0.1305,0.5051,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+061.255,-000.385,-003.081,+00.3190,-00.1305,+00.5051,-00.062,+00.296,-09.669,-00.542657,+00.123963,-00.038299*6F"
1731877513.5898361,3,1731877513,588502645,imu1_frame,0,0,0,,-0.026351117900288167,-0.01864201255555675,0.5081845658672572,0.860643097321759,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.315119,-0.005875,-0.107798,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.015,0.718,-9.696,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3181,-0.1348,0.5024,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+061.131,-000.304,-003.687,+00.3181,-00.1348,+00.5024,-00.015,+00.718,-09.696,-00.315119,-00.005875,-00.107798*6A"
1731877513.617699,4,1731877513,613528251,imu1_frame,0,0,0,,-0.02883799135242511,-0.02042400075660033,0.5070411571259594,0.8611971292498716,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.243969,0.009832,-0.089637,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.111,0.877,-10.199,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3186,-0.1395,0.5026,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+060.988,-000.340,-004.036,+00.3186,-00.1395,+00.5026,-00.111,+00.877,-10.199,-00.243969,+00.009832,-00.089637*6B"
1731877513.6407802,5,1731877513,638650894,imu1_frame,0,0,0,,-0.030877718838959515,-0.02103910502598216,0.50602856617219,0.8617070341808318,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.119089,0.038661,-0.082355,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.094,1.016,-10.014,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3206,-0.1408,0.501,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+060.857,-000.287,-004.273,+00.3206,-00.1408,+00.5010,-00.094,+01.016,-10.014,-00.119089,+00.038661,-00.082355*61"
1731877513.664892,6,1731877513,663919210,imu1_frame,0,0,0,,-0.032612449388487626,-0.02099770257199609,0.505478650091488,0.8619668548925,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.128347,0.099718,-0.010005,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.162,1.026,-9.8,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3179,-0.1446,0.5005,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+060.784,-000.185,-004.442,+00.3179,-00.1446,+00.5005,-00.162,+01.026,-09.800,-00.128347,+00.099718,-00.010005*64"
1731877513.6932156,7,1731877513,688584089,imu1_frame,0,0,0,,-0.03403250602696194,-0.0206105989743493,0.5053654002138666,0.8619877052546179,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.013937,0.068776,-0.036118,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.116,0.711,-9.446,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3182,-0.1438,0.5007,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+060.767,-000.065,-004.560,+00.3182,-00.1438,+00.5007,-00.116,+00.711,-09.446,-00.013937,+00.068776,-00.036118*6C"
1731877513.7247603,8,1731877513,713747262,imu1_frame,0,0,0,,-0.03413239681535035,-0.020061067211130875,0.504596071571348,0.8624472955634755,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.003315,0.025662,-0.063378,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.043,1.136,-9.246,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3154,-0.1424,0.5007,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+060.662,-000.009,-004.538,+00.3154,-00.1424,+00.5007,-00.043,+01.136,-09.246,+00.003315,+00.025662,-00.063378*68"
1731877513.7419794,9,1731877513,739997863,imu1_frame,0,0,0,,-0.03432942069213105,-0.020000580509963242,0.5045230893433483,0.8624835766399562,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.009214,0.010781,0.027653,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.046,1.046,-9.35,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.318,-0.1427,0.5015,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+060.652,+000.008,-004.554,+00.3180,-00.1427,+00.5015,-00.046,+01.046,-09.350,-00.009214,+00.010781,+00.027653*66"
1731877513.7663827,10,1731877513,763488531,imu1_frame,0,0,0,,-0.03438202727466959,-0.019910811890213917,0.5049186006552955,0.8622520759514904,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.004422,0.003116,0.033499,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.118,0.663,-9.391,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3166,-0.1457,0.5007,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+060.704,+000.022,-004.554,+00.3166,-00.1457,+00.5007,-00.118,+00.663,-09.391,-00.004422,+00.003116,+00.033499*62"
1731877513.7923515,11,1731877513,788550853,imu1_frame,0,0,0,,-0.0344344773237228,-0.02028710543058883,0.5051296894983872,0.8621175655976121,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.007864,-0.059889,0.00605,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.153,0.58,-9.471,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.3164,-0.143,0.5015,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+060.734,-000.011,-004.581,+00.3164,-00.1430,+00.5015,-00.153,+00.580,-09.471,+00.007864,-00.059889,+00.006050*6D"
